"problem_id","topic","subtopic","grade_level","difficulty_level","source","problem_length_words","num_sentences","num_entities","equation_count","equation_complexity_score","total_attempts","avg_solving_time_seconds","success_rate","avg_attempts_to_solve","verified_by_human","last_updated"
"PROB_001","Probability","Probability Distributions","12","4","User-Generated","154","4","5","2","7","28","415","0.49060745303046627","2.3","1","2024-09-08 00:00:00"
"PROB_002","Number Theory","Prime Numbers","9","5","User-Generated","155","2","3","1","10","49","420","0.41908216395483555","1.9","1","2024-10-27 00:00:00"
"PROB_003","Geometry","Triangles","9","1","Synthetic","50","8","2","2","2","5","251","0.7774623465136056","1.6","0","2024-10-05 00:00:00"
"PROB_004","Trigonometry","Heights and Distances","10","2","NCERT","181","6","7","1","2","22","351","0.732426248972999","1.6","0","2024-09-27 00:00:00"
"PROB_005","Statistics","Standard Deviation","10","4","Synthetic","74","3","5","1","9","15","389","0.5094685424294781","2.4","1","2024-10-09 00:00:00"
"PROB_006","Statistics","Standard Deviation","8","3","User-Generated","160","6","3","2","5","50","326","0.7113837470965123","1.3","1","2024-09-25 00:00:00"
"PROB_007","Probability","Conditional Probability","10","3","User-Generated","105","3","5","2","5","8","389","0.5515308546852836","2.2","1","2024-09-15 00:00:00"
"PROB_008","Number Theory","Prime Numbers","9","5","NCERT","300","8","7","1","8","16","420","0.5193783599181155","2.2","1","2024-09-04 00:00:00"
"PROB_009","Probability","Probability Distributions","8","2","Synthetic","227","7","2","4","3","50","351","0.7441736869874502","1.4","1","2024-08-07 00:00:00"
"PROB_010","Geometry","Circles","9","2","User-Generated","220","5","4","3","4","7","280","0.7055244081780306","1.6","1","2024-08-28 00:00:00"
"PROB_011","Probability","Permutations","10","2","NCERT","143","2","7","2","4","50","262","0.5907520360338109","1.7","1","2024-10-24 00:00:00"
"PROB_012","Mensuration","Surface Area","6","5","User-Generated","132","2","6","2","8","7","420","0.5059273905487991","2.1","1","2024-10-10 00:00:00"
"PROB_013","Algebra","Linear Equations","12","5","NCERT","300","8","6","1","10","29","420","0.34670205102420243","2.1","1","2024-10-26 00:00:00"
"PROB_014","Algebra","Linear Equations","10","3","Synthetic","253","8","9","4","6","50","403","0.8029854111871977","1.6","1","2024-10-08 00:00:00"
"PROB_015","Arithmetic","Profit and Loss","7","5","Synthetic","287","8","8","4","10","15","420","0.4162258260039203","2.5","1","2024-09-24 00:00:00"
