interaction_id,user_id,problem_id,session_id,timestamp,time_of_day,day_of_week,days_since_last_session,grade_level,study_hours_per_week,previous_math_score,tutoring_received,learning_style,device_type,topic,difficulty_level,problem_length_words,equation_count,attempt_number,hint_used,response_time_seconds,user_accuracy,confidence_rating,solver_success,user_feedback_rating
INT_0001,USR_082,PROB_029,SES_0026,2024-09-05 07:14:08,morning,Thursday,-64,11,13,41,no,visual,mobile,Geometry,3,105,1,3,no,251,1,5,1,4
INT_0002,USR_001,PROB_195,SES_0826,2024-08-21 22:27:21,night,Wednesday,-19,7,8,73,yes,reading/writing,mobile,Ratios,3,266,2,1,yes,499,1,2,1,
INT_0003,USR_038,PROB_161,SES_0634,2024-09-16 18:12:45,evening,Monday,-73,6,15,59,no,visual,mobile,Geometry,2,147,1,3,yes,217,1,3,1,5
INT_0004,USR_078,PROB_163,SES_0176,2024-10-08 23:15:10,night,Tuesday,28,9,9,58,no,visual,mobile,Algebra,4,256,2,1,yes,477,1,5,1,4
INT_0005,USR_083,PROB_118,SES_0147,2024-09-03 04:15:47,night,Tuesday,53,10,9,84,no,reading/writing,tablet,Arithmetic,2,85,2,1,yes,235,0,3,1,1
INT_0006,USR_049,PROB_153,SES_0480,2024-10-07 08:35:55,morning,Monday,-88,11,6,64,no,kinesthetic,mobile,Mensuration,2,161,1,1,no,206,1,5,1,3
INT_0007,USR_081,PROB_077,SES_0862,2024-10-21 16:38:12,afternoon,Monday,-51,8,7,30,no,reading/writing,mobile,Geometry,3,287,2,5,no,150,0,1,1,
INT_0008,USR_094,PROB_125,SES_0836,2024-08-09 17:49:08,evening,Friday,-58,11,12,51,yes,reading/writing,mobile,Statistics,1,243,3,1,yes,192,1,4,1,3
INT_0009,USR_029,PROB_017,SES_0347,2024-08-03 18:35:14,evening,Saturday,60,7,5,39,no,visual,mobile,Geometry,1,281,1,1,no,274,0,2,1,4
INT_0010,USR_074,PROB_122,SES_0249,2024-09-30 13:12:06,afternoon,Monday,-66,11,11,75,no,reading/writing,desktop,Algebra,1,222,3,3,yes,127,1,5,0,2
INT_0011,USR_018,PROB_109,SES_0188,2024-09-05 14:15:55,afternoon,Thursday,-71,9,13,42,yes,visual,mobile,Arithmetic,4,92,2,2,no,285,1,3,0,4
INT_0012,USR_059,PROB_074,SES_0434,2024-10-29 23:50:35,night,Tuesday,79,11,12,49,yes,auditory,mobile,Number Theory,3,238,2,3,yes,188,1,4,1,5
INT_0013,USR_011,PROB_048,SES_0071,2024-10-16 02:43:55,night,Wednesday,-30,9,6,61,no,visual,desktop,Geometry,2,157,3,2,yes,246,0,3,0,1
INT_0014,USR_083,PROB_077,SES_0469,2024-09-10 02:00:29,night,Tuesday,69,10,6,39,no,kinesthetic,mobile,Ratios,1,275,1,1,yes,275,1,4,1,5
INT_0015,USR_068,PROB_003,SES_0684,2024-10-10 09:59:42,morning,Thursday,-64,7,9,44,no,auditory,tablet,Mensuration,2,204,1,1,no,239,1,4,1,2
INT_0016,USR_082,PROB_109,SES_0850,2024-09-05 01:00:21,night,Thursday,-57,11,9,50,no,reading/writing,desktop,Algebra,2,78,1,4,no,309,1,5,1,3
INT_0017,USR_040,PROB_094,SES_0921,2024-08-06 11:13:43,morning,Tuesday,-27,11,6,75,no,reading/writing,desktop,Probability,2,286,4,4,no,206,1,5,0,1
INT_0018,USR_053,PROB_172,SES_0885,2024-09-01 08:10:50,morning,Sunday,89,6,11,34,no,auditory,mobile,Calculus,3,139,2,3,yes,177,0,1,0,5
INT_0019,USR_036,PROB_090,SES_0657,2024-10-05 12:43:53,afternoon,Saturday,47,8,5,44,no,kinesthetic,mobile,Number Theory,3,296,4,1,no,147,0,3,1,2
INT_0020,USR_074,PROB_049,SES_0261,2024-08-06 22:27:00,night,Tuesday,43,12,13,55,no,visual,desktop,Ratios,1,209,2,4,no,227,1,3,1,4
INT_0021,USR_017,PROB_050,SES_0431,2024-10-25 12:43:47,afternoon,Friday,-46,10,14,68,no,visual,tablet,Mensuration,3,103,2,2,no,274,1,4,1,5
INT_0022,USR_095,PROB_044,SES_0675,2024-08-11 09:32:42,morning,Sunday,72,10,10,41,no,auditory,desktop,Mensuration,2,107,3,1,yes,194,1,4,1,5
INT_0023,USR_074,PROB_050,SES_0736,2024-10-29 12:31:25,afternoon,Tuesday,-28,7,15,30,no,visual,tablet,Arithmetic,1,95,3,3,no,123,1,5,0,2
INT_0024,USR_068,PROB_144,SES_0610,2024-09-10 14:39:52,afternoon,Tuesday,39,9,13,87,no,reading/writing,tablet,Mensuration,2,242,1,3,no,370,1,4,1,
INT_0025,USR_037,PROB_061,SES_0279,2024-09-12 10:57:34,morning,Thursday,-70,7,7,59,no,auditory,desktop,Arithmetic,3,66,2,1,no,114,0,4,1,5
INT_0026,USR_003,PROB_196,SES_0590,2024-09-18 15:00:22,afternoon,Wednesday,-14,12,11,83,no,auditory,tablet,Arithmetic,3,119,2,1,yes,238,1,4,1,3
INT_0027,USR_080,PROB_137,SES_0028,2024-09-20 18:36:42,evening,Friday,-84,6,15,84,yes,reading/writing,mobile,Algebra,2,116,2,1,yes,258,1,4,1,4
INT_0028,USR_011,PROB_121,SES_0020,2024-10-09 01:22:14,night,Wednesday,76,6,15,35,no,auditory,mobile,Algebra,4,209,1,1,no,466,0,1,1,2
INT_0029,USR_078,PROB_192,SES_0736,2024-08-15 05:19:06,morning,Thursday,58,6,9,78,no,auditory,mobile,Number Theory,1,226,3,1,no,202,1,4,1,5
INT_0030,USR_006,PROB_089,SES_0546,2024-09-24 21:23:04,night,Tuesday,39,11,10,31,no,reading/writing,mobile,Trigonometry,3,295,2,4,no,462,0,1,1,3
INT_0031,USR_069,PROB_199,SES_0496,2024-09-29 13:52:46,afternoon,Sunday,61,8,10,61,no,visual,tablet,Calculus,2,112,3,2,no,203,0,2,0,2
INT_0032,USR_034,PROB_088,SES_0287,2024-10-16 22:56:17,night,Wednesday,52,6,13,54,yes,reading/writing,tablet,Statistics,1,244,1,2,no,148,1,1,1,4
INT_0033,USR_085,PROB_149,SES_0378,2024-09-30 17:33:22,evening,Monday,18,11,13,72,no,reading/writing,tablet,Mensuration,3,114,1,3,yes,375,1,5,1,5
INT_0034,USR_036,PROB_186,SES_0604,2024-10-07 19:18:06,evening,Monday,-41,8,8,76,yes,visual,desktop,Statistics,2,82,1,5,no,261,1,2,1,5
INT_0035,USR_074,PROB_073,SES_0481,2024-10-01 14:21:11,afternoon,Tuesday,-77,8,12,44,no,reading/writing,tablet,Geometry,3,197,2,1,yes,248,1,3,1,5
INT_0036,USR_078,PROB_153,SES_0810,2024-10-19 07:49:33,morning,Saturday,7,9,12,68,no,reading/writing,tablet,Number Theory,3,208,1,5,yes,458,1,4,1,
INT_0037,USR_031,PROB_045,SES_0566,2024-08-10 05:00:26,morning,Saturday,25,11,14,90,yes,auditory,tablet,Mensuration,2,229,3,1,yes,403,1,5,1,3
INT_0038,USR_015,PROB_140,SES_0231,2024-10-22 04:58:17,night,Tuesday,-54,6,5,51,no,kinesthetic,tablet,Geometry,1,169,3,3,no,242,1,4,0,
INT_0039,USR_056,PROB_189,SES_0331,2024-10-17 08:01:05,morning,Thursday,-32,11,14,32,no,kinesthetic,desktop,Algebra,3,245,3,2,no,302,1,3,1,4
INT_0040,USR_012,PROB_121,SES_0357,2024-09-22 10:20:42,morning,Sunday,-64,12,7,72,no,reading/writing,tablet,Trigonometry,3,258,3,1,yes,136,0,1,1,4
INT_0041,USR_001,PROB_169,SES_0891,2024-10-09 14:26:03,afternoon,Wednesday,-42,10,10,93,no,visual,mobile,Mensuration,2,190,1,1,no,282,1,1,1,5
INT_0042,USR_040,PROB_142,SES_0015,2024-10-10 13:05:14,afternoon,Thursday,-61,9,6,49,no,kinesthetic,desktop,Mensuration,4,156,3,5,yes,285,0,2,1,4
INT_0043,USR_009,PROB_071,SES_0792,2024-09-23 10:59:50,morning,Monday,39,8,5,66,no,reading/writing,mobile,Calculus,2,187,2,1,no,215,1,5,1,4
INT_0044,USR_050,PROB_060,SES_0877,2024-09-22 01:20:47,night,Sunday,31,11,11,79,no,auditory,tablet,Algebra,4,82,2,2,no,330,1,4,1,5
INT_0045,USR_053,PROB_168,SES_0994,2024-08-20 02:30:50,night,Tuesday,-23,8,14,80,no,kinesthetic,desktop,Statistics,2,147,4,3,no,269,1,4,1,5
INT_0046,USR_037,PROB_059,SES_0765,2024-08-12 13:06:48,afternoon,Monday,72,11,6,86,yes,kinesthetic,mobile,Algebra,3,133,3,1,yes,356,0,2,1,2
INT_0047,USR_011,PROB_157,SES_0892,2024-09-18 19:43:15,evening,Wednesday,37,10,7,59,no,kinesthetic,tablet,Mensuration,2,220,1,4,no,243,1,3,1,5
INT_0048,USR_082,PROB_109,SES_0707,2024-09-02 14:54:19,afternoon,Monday,-40,9,12,43,yes,kinesthetic,desktop,Mensuration,2,229,1,5,no,153,1,4,1,2
INT_0049,USR_078,PROB_191,SES_0509,2024-09-06 07:38:51,morning,Friday,0,7,15,54,no,auditory,desktop,Geometry,3,281,2,1,no,377,0,2,0,1
INT_0050,USR_054,PROB_045,SES_0206,2024-08-17 17:56:23,evening,Saturday,45,10,9,51,yes,reading/writing,tablet,Ratios,3,255,1,5,yes,313,1,5,1,5
INT_0051,USR_072,PROB_094,SES_0093,2024-09-20 00:16:34,night,Friday,-59,9,10,63,no,kinesthetic,mobile,Arithmetic,1,170,1,4,no,170,1,3,0,4
INT_0052,USR_039,PROB_167,SES_0419,2024-08-15 04:02:02,night,Thursday,-13,9,6,42,yes,auditory,tablet,Calculus,2,144,3,3,no,176,1,5,1,3
INT_0053,USR_063,PROB_158,SES_0418,2024-09-05 01:44:23,night,Thursday,-35,9,12,60,no,visual,desktop,Ratios,2,189,4,3,yes,285,0,5,1,1
INT_0054,USR_028,PROB_165,SES_0655,2024-10-16 00:03:50,night,Wednesday,-5,7,7,56,yes,auditory,desktop,Arithmetic,5,258,3,1,yes,461,1,1,1,3
INT_0055,USR_033,PROB_045,SES_0113,2024-10-24 00:08:00,night,Thursday,1,12,8,71,yes,kinesthetic,mobile,Probability,3,239,2,1,yes,322,1,4,1,4
INT_0056,USR_079,PROB_012,SES_0745,2024-10-24 16:19:29,afternoon,Thursday,74,6,5,91,no,reading/writing,desktop,Geometry,1,175,3,2,no,195,0,1,0,2
INT_0057,USR_092,PROB_084,SES_0391,2024-10-16 16:18:29,afternoon,Wednesday,39,10,11,42,no,visual,desktop,Statistics,3,234,3,2,no,568,1,5,1,4
INT_0058,USR_041,PROB_171,SES_0262,2024-09-17 04:43:59,night,Tuesday,31,6,6,40,yes,visual,desktop,Ratios,2,257,1,1,no,314,1,4,1,5
INT_0059,USR_055,PROB_185,SES_0053,2024-09-06 19:19:22,evening,Friday,-64,10,13,57,yes,reading/writing,mobile,Geometry,2,139,3,2,no,149,1,5,1,5
INT_0060,USR_079,PROB_173,SES_0659,2024-10-11 00:38:59,night,Friday,78,12,9,33,yes,kinesthetic,tablet,Ratios,4,51,1,1,no,349,0,3,1,
INT_0061,USR_068,PROB_056,SES_0386,2024-09-23 14:21:10,afternoon,Monday,4,8,10,40,no,auditory,mobile,Number Theory,3,62,3,1,no,175,1,4,1,3
INT_0062,USR_056,PROB_029,SES_0291,2024-10-26 21:37:31,night,Saturday,44,11,9,35,yes,visual,mobile,Arithmetic,4,127,4,3,no,187,0,1,0,1
INT_0063,USR_069,PROB_181,SES_0236,2024-10-04 17:53:42,evening,Friday,0,6,11,35,no,reading/writing,mobile,Ratios,3,197,2,2,no,511,0,2,1,5
INT_0064,USR_059,PROB_177,SES_0942,2024-09-16 02:27:54,night,Monday,-63,7,11,81,no,reading/writing,tablet,Ratios,1,106,2,1,no,135,0,2,1,4
INT_0065,USR_083,PROB_038,SES_0242,2024-08-14 04:16:12,night,Wednesday,-46,10,7,39,yes,reading/writing,tablet,Number Theory,3,244,2,3,no,281,1,5,1,4
